	query	docno	relevance
0	戒烟	199	1
1	清华大学游泳馆 学生票价格	18606	1
2	留美 手提行李 液体	9681	2
3	死飞自行车购买 清华	19787	2
4	国际航班 手提 托运 体积 重量 限制	20589	4
5	托运行李 电脑 美国	17079	1
6	戒烟好处	1899	4
7	google眼镜 价格	23004	2
8	清华大学陈明游泳馆学生价格	1981	2
9	新员工培训大约十人的破冰游戏	21854	2
10	清华大学游泳馆所在地	3718	3
11	北京旅行5月	2758	3
12	谷歌眼镜价格	2587	2
13	iphone6 港版价格	12074	3
14	留美 行李中什么必须托运	9732	1
15	清华附近自行车店	10007	1
16	iphone6 国行价格	12093	4
17	国际航班 美国 行李限制	24277	2
18	托运行李 电脑	17036	2
19	密云水库住宿	24553	3
20	辽宁号基本信息	1192	3
21	清华附近死飞	21205	3
22	清华大学游泳馆时间	3455	2
23	清华西门死飞	21274	1
24	辽宁号航母 基本信息	5898	4
25	港版iphone6 z	10698	3
26	怀柔度假村 3日游 价格	6932	2
27	清华附近买自行车	2524	2
28	港版 iphone6关税 	20395	2
29	5月香山	2817	1
30	清华大学游泳馆 西湖游泳馆	16865	3
31	美国 托运行李规定	25481	3
32	死飞  注意事项	22852	2
33	死飞自行车 报价	16358	2
34	清华大学 游泳 票价	7606	3
35	辽宁号 战略作用	8343	3
36	旅行	10345	2
37	清华大学附近 死飞自行车	9943	1
38	港版iphone6支持国内网络运营商	13294	4
39	5月北京周边游	25991	2
40	国际航班 美国 行李限制	24276	3
41	死飞自行车 购买	15424	2
42	iphone6 大陆 港版  价格	3296	4
43	北京周边7日游 报价	12607	2
44	辽宁号 与其他航母的优劣比较	23644	3
45	清华附近买自行车	2523	3
46	在香港买手机带回大陆需要关税吗	11722	2
47	清华西门 死飞	6509	2
48	死飞自行车销售地址	9229	3
49	美国 手提行李限制	8448	2
50	香港 iphone6   关税	18249	2
51	港版iphone6  国内运营商网络支持	23230	4
52	清华大学 十渡	26104	1
53	密云水库住宿	24551	4
54	清华附近卖死飞	21230	2
55	国际航班对行李中液体限制	19817	3
56	山海关旅游 7天	19628	4
57	辽宁号 排水量	16463	2
58	国内iphone6售价	9317	3
59	辽宁号与其他航母相比 优势和劣势	20882	2
60	航母的战略意义	22196	4
61	清华西门 死飞公园	25680	1
62	谷歌眼镜功能 使用方式	24224	3
63	清华大学游泳馆 价钱	11751	1
64	辽宁号的基本信息	21365	3
65	菜户营桥西公交站	8032	4
66	死飞	22115	3
67	清华大学陈明游泳馆价格	1950	2
68	死飞报价	25759	4
69	破冰游戏 	25033	2
70	美国 托运行李规定	25479	3
71	那些行李必须手提	24690	1
72	留美 什么必须托运	9706	4
73	北京周边五月一周度假旅行	10283	1
74	故宫周边交通	13924	2
75	山海关旅游 7天	19627	2
76	5月北京周边	20689	2
77	死飞 清华大学附近	7973	3
78	国内 iphone6  价格  	18207	3
79	港版iphone6需要关税吗	22317	2
80	清华大学 陈明游泳馆	8163	3
81	去美国 不能托运的	25561	1
82	清华大学游泳馆 西湖游泳馆	16863	4
83	谷歌眼镜 使用方法	4965	2
84	北京周边 度假旅行	15092	3
85	死飞自行车注意事项	22374	4
86	 新人培训 破冰游戏	20499	2
87	辽宁号的基本信息	21368	1
88	香港购买iphone6 关税多少	14470	2
89	死飞 海淀	3150	3
90	港版国行iphone6 价格对比	6241	3
91	死飞 清华大学 购买	11953	2
92	国际航班手提行李能带多少液体	21567	2
93	北京度假旅行  一周旅行团	18372	2
94	托运行李限制 国际航班	19338	4
95	如何在香港购买iphone6	13251	3
96	北京5月 周边旅游 攻略	6816	2
97	辽宁号与美国航母对比	26324	3
98	辽宁号的优势与劣势	20025	1
99	国行iphone6  价格	8409	4
100	死飞自行车 清华大学附近 购买渠道	15322	3
101	辽宁号 优势和劣势	22175	1
102	国际航班行李	21509	4
103	港iphone6  国内运营商	18270	3
104	iphone6 香港售价	23161	4
105	去十渡怎么去	26080	2
106	辽宁号的优点	9449	1
107	十渡住宿	24478	3
108	死飞自行车 购买 注意事项	15457	2
109	破冰游戏 新员工培训	14186	1
110	清华大学游泳馆信息	21878	2
111	清华大学西门 哪里卖死飞	25658	2
112	死飞自行车购买注意事项	2502	2
113	清华大学 哪里卖死飞	25631	1
114	清华 死飞自行车	16267	2
115	国际航班 液体登机	7284	2
116	北京周边7日游 报价	12608	2
117	北京周边7日游 花费	12651	2
118	去美国 不能托运的	25559	3
119	国际航班手提行李 液体	14539	3
120	大兴野生动物园	26278	3
121	死飞自行车 清华附近 购买渠道	22649	2
122	北戴河旅游	19539	2
123	清华大学游泳馆 时间	16782	2
124	国内iphone6价格	13229	3
125	辽宁号  	17502	3
126	谷歌眼镜使用方式	9139	1
127	苹果官网	25395	2
128	员工破冰游戏	10255	3
129	北京周边旅游地点 7日游	19467	1
130	港版 大陆iphone6	20365	3
131	辽宁号 优	3370	3
132	戒烟 好处	8289	4
133	清华大学游泳馆学生票价	23111	1
134	十人破冰游戏	13686	3
135	港版iphone6和内地差价	24018	2
136	清华大学游泳馆 游泳卡办理	19969	3
137	清华陈明游泳馆 开放时间	7496	4
138	清华大学露天泳池 学生价格	25275	2
139	北京度假旅行景点推荐	13861	1
140	哪些物品 手提行李	16209	3
141	死飞自行车 购买注意事项	23883	2
142	谷歌眼镜 使用说明	11665	2
143	辽宁号 尺寸	16483	3
144	清华大学附近死飞自行车购买	19670	2
145	港版iphone6支持内地运营商网络吗	21493	4
146	死飞自行车 清华附近 购买地点	22765	2
147	港版iphone	21478	3
148	国际航班行李限制	13590	4
149	北京周边 度假旅行 一周	15132	2
150	国际航班 手提行李 液体 规定	12850	3
151	 新人培训 破冰游戏	20495	3
152	辽宁号相对于其他国家的优点	9435	2
153	iphone6大陆售价	22336	3
154	辽宁号优劣势	1214	1
155	港版iphone6 需不需要关税	19893	2
156	5月香山	2814	1
157	故宫周边旅店	13892	3
158	清华大学	23925	3
159	哪些物品必须托运	16241	2
160	 清华大学  购买死飞	17825	2
161	北京五月份一周度假旅行	2238	3
162	破冰游戏  员工培训	25064	3
163	北京周边5日游	23283	2
164	港版iphone6能否支持国内的通信	19926	4
165	清华 死飞 注意事项	6587	3
166	留美 行李中什么必须托运	9728	2
167	国际航班 手提行李 液体	12816	3
168	新手十人破冰游戏	13712	3
169	辽宁号 战略价值	10641	1
170	谷歌眼镜使用方法	20317	4
171	清华 死飞自行车	16269	2
172	辽宁号 排水量	16459	2
173	北京旅行5月香山	2782	1
174	清华附近购买死飞自行车  价格区间	22810	2
175	北京度假旅行景点	13827	1
176	航母历史	14899	3
177	北京周边旅游7天	19442	2
178	5月北京附近旅游地	23991	3
179	死飞自行车购买渠道 北京	16288	3
180	国际航班手提行李可携带液体数	13634	2
181	死飞自行车购买渠道	14071	2
182	5月北京周边 7天	20737	1
183	北京周边7日游 花费	12647	3
184	辽宁号 优劣	3354	3
185	清华大学游泳馆学生票	3479	2
186	内地iphone6价格	21442	3
187	辽宁号  历史	17480	1
188	死飞自行车 北京  清华大学 购买渠道	22721	2
189	清华大学 买自行车	12027	3
190	破冰游戏 员工培训 10人左右	14201	3
191	香港购买ipo	14384	2
192	死飞自行车 购买 注意	15473	2
193	清华附近购买死飞自行车  价格区间	22813	2
194	清华买死飞	6459	2
195	手提行李限制 国际航班	2629	4
196	北京旅行	2725	2
197	破冰游戏 员工 十人	7429	1
198	死飞公园 清华 价格	17299	2
199	清华大学 购买死飞自行车	19692	2
200	国际航班 行李物品要求	7132	4
201	破冰游戏 十个人	8978	3
202	北京周围 度假旅行 7日	15203	1
203	北京周边旅游景点 7日游	12574	3
204	5月北京周边旅游	11412	3
205	清华大学 哪里有卖 死飞	22058	2
206	iphone6国行 价格	16745	4
207	死飞自行车购买清华大学附近	19741	2
208	清华大学附近哪里卖自行车	12054	2
209	购买港版iphone6是否缴纳关税	24670	2
210	北京附近度假地	23964	4
211	辽宁号战略作用	13051	2
212	携港版iphone6回内地需要交关税吗	24046	2
213	港版iphone6过关	22005	2
214	香港购买iphone 关税	14417	2
215	港版iphone6价格	10680	2
216	手提行李限制 液体	8502	2
217	国际航班 行李限制	12800	3
218	清华大学游泳馆 学生票	15302	2
219	破冰游戏 互相介绍  公司	17143	3
220	谷歌眼镜 使用	11034	3
221	北京周边一周度假旅行	2260	3
222	iphone6 香港 国内网络支持	23196	3
223	5月北京周边旅游	11411	3
224	淘宝	11614	3
225	香港购买iphone6	1126	3
226	托运行李 电脑 美国	17077	2
227	清华大学游泳馆 价格	18684	1
228	谷歌眼镜 如何使用	25372	3
229	清华大学陈明游泳馆学生价格	1984	2
230	辽宁号航母的优势和劣势	24421	2
231	北京5月 度假 攻略	6848	3
232	辽宁号 维基	12757	1
233	死飞自行车  价格区间	22824	2
234	国际航班 托运行李限制	23399	4
235	辽宁号 基本信息	3321	1
236	港版iphone6价格	10678	3
237	北京 死飞	11582	4
238	港币汇率	14347	4
239	戒烟副作用	2605	2
240	北京五月份一周度假旅行	2235	1
241	清华大学 死飞自行车	10741	1
242	北戴河旅游 7天	19575	3
243	辽宁号 不足	3398	2
244	清华大学游泳馆 学生	3495	2
245	清华大学游泳馆 价格	18686	3
246	天龙潭村旅游报价	24946	2
247	港版国行iphone6 价格	6265	3
248	国际航班 手提液体	23464	3
249	iphone6价格	10089	4
250	航母的战略作用	4706	3
251	北京周边旅游 一周	18740	2
252	辽宁号 排水量	16460	2
253	清华附近 死飞 注意事项	21092	1
254	辽宁号 维基	12754	2
255	死飞自行车 清华附近 价格区间	22788	2
256	清华附近自行车店	10008	2
257	国际航班 托运行李	10579	4
258	港版iphone6  价格	8380	3
259	百度旅游	21964	1
260	清华大学 自行车	10808	2
261	国际航班中乘客可以携带多少液体	23823	2
262	清华大学附近购买死飞自行车的渠道	9178	2
263	清华 陈明游泳馆 票价	7575	2
264	大陆iphone6	3257	2
265	北戴河旅游 7天	19576	3
266	港版iphone6  国内运营商网络支持	23234	4
267	辽宁号航母 优劣	14943	2
268	清华大学游泳馆 学生票	15300	2
269	香港购买ipo	14380	2
270	北京周边旅游 一周	18739	2
271	清华大学 死飞自行车市场	10921	2
272	辽宁号 其他国家航母 比较	9579	3
273	北京旅游住宿花费 昌平	9105	1
274	清华大学游泳馆 学生票价格	18607	1
275	谷歌眼镜 百科	22901	3
276	国际航班托运行李 	14570	4
277	国际航班 手提 托运 体积 重量 限制	20588	4
278	菜户营桥西公交站 地图	8058	3
279	戒烟好处	1896	2
280	内地iphone6	24605	2
281	新员工培训大约十人的破冰游戏	21855	2
282	清华大学游泳馆 tsinghua	23128	1
283	iphone6价格	10087	3
284	红螺寺 攻略	26180	4
285	死飞公园 买死飞注意事项	25702	3
286	清华大学 游泳馆	8130	3
287	5月在北京度假旅行	11201	1
288	iphone6 国行价格	12092	3
289	托运行李 电脑	17039	1
290	旅行路线	10369	2
291	辽宁号基本信息	1193	3
292	清华附近死飞	21204	1
293	淘宝	11618	3
294	北京周边 度假旅行 7日	15170	2
295	辽宁号 百科	22578	1
296	辽宁号的优劣	9414	2
297	红螺寺 攻略	26179	3
298	清华西门死飞	21273	4
299	google眼镜 使用方式	22981	1
300	国际航班 必须托运行李	23428	3
301	辽宁号航母 基本信息	5899	3
302	航空母舰的战略意义	26296	3
303	港版iphone6 z	10697	3
304	北京周边旅游 价格	23310	3
305	5月香山	2816	1
306	清华大学游泳馆 游泳卡价格	19945	1
307	清华大学游泳馆学生价	13511	1
308	国际航班 禁止托运	7223	4
309	清华大学 游泳 票价	7607	1
310	旅行	10344	2
311	港版iphone6支持国内网络运营商	13295	3
312	5月北京周边游	25988	3
313	清华大学附近 死飞 购买	21004	1
314	龙庆峡住宿	24514	3
315	死飞自行车 购买	15425	3
316	辽宁号的基本信息	21366	2
317	液体、气雾剂及凝胶在国际航班上的规定	8765	1
318	iphone6 大陆 港版  价格	3299	2
319	清华大学 游泳馆	8128	4
320	去十渡怎么去	26076	4
321	港版 大陆iphone6 价格	20384	3
322	辽宁号 与其他航母的优劣比较	23645	3
323	清华西门 死飞	6510	2
324	死飞自行车销售地址	9226	2
325	死飞自行车 价格区间	23902	2
326	戒烟 方法	14868	3
327	手提行李限制 国际航班 液体	19267	3
328	清华附近卖死飞	21231	2
329	山海关旅游 7天	19629	2
330	北京周边旅游 多日游	18770	3
331	清华大学附近的自行车专卖店	9268	1
332	清华大学游泳馆 价钱	11750	2
333	手提行李中不能携带的物品	8786	3
334	死飞	22114	3
335	清华大学陈明游泳馆价格	1949	3
336	谷歌眼镜 维基百科	22926	2
337	国际航班 手提行李限制	11813	3
338	破冰游戏 	25034	4
339	清华大学 死飞	7954	1
340	托运行李 国际航班 电脑	17115	3
341	故宫周边交通	13923	3
342	5月北京周边	20688	2
343	死飞 清华大学附近	7972	3
344	香港购买iphone6带回要交关税？	13271	2
345	港版iphone6需要关税吗	22316	3
346	死飞自行车 北京	24088	2
347	清华大学 陈明游泳馆	8162	2
348	辽宁号的优势与劣势	20023	1
349	死飞自行车 购买	15423	2
350	去美国 不能托运的	25560	2
351	手提行李   液体容量	17603	3
352	谷歌眼镜 使用方法	4964	2
353	北京周边 度假旅行	15095	2
354	谷歌眼镜 使用方式	8561	3
355	 新人培训 破冰游戏	20498	2
356	香港购买iphone6 关税多少	14471	2
357	死飞 海淀	3149	2
358	港版国行iphone6 价格对比	6240	3
359	死飞自行车 北京 购买渠道	22691	2
360	留美 手提行李 液体	9684	3
361	国际航班手提行李能带多少液体	21566	2
362	清华大学西门 哪里卖死飞	25660	1
363	北京度假旅行  一周旅行团	18375	2
364	怀柔旅游	22427	2
365	中国运营商支持港版iphone6	2447	3
366	手提行李 液体	8736	3
367	北京5月 周边旅游 攻略	6817	2
368	 新人培训 破冰游戏 10人	20513	2
369	辽宁号的优势与劣势	20027	1
370	google眼镜 百度百科	22966	2
371	辽宁号的优势与劣势	20024	1
372	清华大学游泳馆 价钱	11752	1
373	死飞报价	25763	3
374	港版iphone6 内地运营商	10722	2
375	死飞自行车 清华大学附近 购买渠道	15321	2
376	国际航班行李	21508	4
377	港iphone6  国内运营商	18271	3
378	死飞自行车 清华附近 注意事项	22741	2
379	谷歌眼镜功能	10978	2
380	清华西门卖死飞	21254	2
381	十渡住宿	24479	4
382	清华大学西门 哪里卖死飞	25659	2
383	死飞自行车购买注意事项	2503	2
384	辽宁号航母基本信息	24399	2
385	清华大学 哪里卖死飞	25630	1
386	5月北京周边旅游目的地	20763	2
387	破冰游戏 新员工培训 十人	16145	3
388	辽宁号航母 相比别国 优劣	14960	2
389	北京周边7日游 报价	12609	2
390	去美国 不能托运的	25558	1
391	手提行李限制 国际	16976	4
392	大兴野生动物园	26277	3
393	死飞自行车 注意事项	5621	2
394	关于合作的10人左右破冰游戏	24066	2
395	清华西门卖死飞	21257	2
396	国内iphone6价格	13228	3
397	死飞公园 清华	17268	3
398	苹果官网	25392	4
399	密云水库住宿	24552	4
400	谷歌眼镜售价	9157	2
401	死飞自行车 购买注意事项	23885	1
402	港版 大陆iphone6	20364	3
403	辽宁号 优	3371	3
404	戒烟 好处	8288	3
405	死飞自行车  清华西门	18011	2
406	十人破冰游戏	13687	4
407	港版iphone6和内地差价	24019	2
408	清华大学游泳馆 位置	22288	3
409	清华陈明游泳馆 开放时间	7497	3
410	清华大学露天泳池 学生价格	25274	2
411	留美 行李限制	9627	1
412	国际航班 手提行李限制	11814	3
413	哪些物品 手提行李	16208	3
414	如何在香港购买iphone6	13255	4
415	死飞自行车 购买注意事项	23882	2
416	故宫周边交通线	13967	1
417	谷歌眼镜 使用说明	11664	2
418	清华 附近  死飞实体店	10057	2
419	清华大学附近死飞自行车购买	19671	1
420	死飞 价格	3181	3
421	死飞自行车 清华附近 购买地点	22766	1
422	死飞自行车 清华附近 购买	22627	2
423	清华大学游泳馆具体位置	24856	3
424	港版iphone6能否支持国内的通信	19925	3
425	清华大学游泳馆时间	3454	2
426	港iphone6  国内运营商	18272	3
427	死飞自行车 	23854	2
428	iphone6大陆售价	22337	3
429	清华 死飞自行车	16268	2
430	国际航班 液体登机	7285	2
431	在香港买iphone6	21986	4
432	北京周边旅游7天	19444	1
433	辽宁号 优劣势	12783	2
434	哪些物品必须托运	16240	2
435	辽宁号基本信息百科	13759	2
436	美国 不能带上飞机的行李	25511	3
437	北京周边5日游	23282	1
438	iphone6国内售价	19853	3
439	清华 死飞 注意事项	6586	1
440	死飞价格区间	25809	2
441	辽宁号 战略意义	7406	2
442	谷歌眼镜 百科	22899	4
443	清华陈明游泳馆 价格	7518	2
444	清华大学 买自行车	12029	2
445	清华附近购买死飞自行车  价格区间	22811	1
446	北京度假旅行景点	13826	4
447	北京周边五月一周度假旅行	10284	2
448	购买港版iphone6	19878	2
449	5月北京附近旅游地	23990	2
450	国际航班中手提行李中可以有多少液体	8699	3
451	清华 陈明游泳馆 价格	7548	2
452	死飞自行车购买渠道 北京	16289	2
453	5月北京度旅游	11392	2
454	国际航班手提行李可携带液体数	13635	2
455	iphone6国内售价	19850	2
456	有效戒烟	16680	2
457	死飞报价	25761	3
458	辽宁号 优劣	3355	2
459	国际航班行李限制统一规定	13610	3
460	清华大学游泳馆学生票	3476	3
461	死飞 五道口	7991	2
462	托运行李 	17633	3
463	辽宁号航母 优势	15008	2
464	清华大学 买自行车	12026	2
465	必须手提的行李	24299	3
466	5月北京度旅游	11390	1
467	清华大学 哪里有卖 死飞	22060	2
468	死飞自行车 购买 注意	15474	2
469	清华买死飞	6458	2
470	北京及周边休闲7日游 价格	12709	3
471	北京旅行	2722	4
472	破冰游戏 员工 十人	7428	3
473	港版国行iphone6 价格	6269	2
474	港版iphone6过关	22003	1
475	10人 破冰游戏	11555	3
476	吸烟 危害	17669	4
477	清华大学 购买死飞自行车	19693	3
478	国际航班 行李物品要求	7131	4
479	在香港购买iphone6价格	10112	4
480	清华大学游泳馆 学生票	15303	2
481	破冰游戏 十个人	8979	2
482	北京周围 度假旅行 7日	15202	2
483	死飞 购买注意	11980	1
484	托运行李 电脑 美国	17075	2
485	天龙潭村旅游报价	24943	3
486	清华大学 哪里有卖 死飞	22059	3
487	辽宁号航母 优劣	14947	2
488	iphone6国行 价格	16744	2
489	死飞自行车购买清华大学附近	19742	1
490	死飞大概的价格	21342	4
491	港版iphone6能否支持国内的移动通信	19909	3
492	死飞自行车 海淀	5595	2
493	死飞自行车购买	19760	3
494	购买死飞自行车	9297	3
495	港版iphone6过关	22004	2
496	国际航班 托运行李限制	23401	4
497	破冰游戏 企业培训	17171	3
498	辽宁号 与其他国家航母比较	9565	3
499	清华大学 自行车	10807	3
500	死飞 清华大学哪里有卖	11995	3
501	死飞自行车 清华周边	19207	1
502	谷歌眼镜 使用	11033	2
503	戒烟本身的副作用	12288	2
504	国际航班 手提 不能托运	7312	2
505	北京周边一周度假旅行	2261	2
506	清华 陈明游泳馆 票价	7578	2
507	谷歌眼镜使用方式	9140	2
508	辽宁号 不足	3399	2
509	清华大学 游泳 票价	7609	2
510	托运行李 电脑 美国	17076	2
511	谷歌眼镜 如何使用	25373	2
512	清华大学陈明游泳馆学生价格	1985	2
513	辽宁号航母的优势和劣势	24418	2
514	辽宁号航母基本信息	24402	1
515	清华附近 死飞 注意事项	21090	1
516	辽宁号基本信息百科	13761	4
517	辽宁号 维基	12756	2
518	港版iphone6 大陆iphone6	8364	3
519	死飞 购买注意事项	3237	2
520	北京 死飞	11581	2
521	港币汇率	14344	4
522	清华大学 死飞自行车	10740	2
523	北戴河旅游 7天	19574	1
524	国际航班手提行李不能带 	14636	4
525	国际航班 手提液体	23465	3
526	辽宁号航母 优劣	14945	3
527	清华 死飞专卖	11641	2
528	死飞自行车 清华附近 购买渠道	22652	2
529	北京周边旅游 一周	18741	2
530	死飞公园 买死飞注意事项	25699	2
531	清华附近 死飞 注意事项	21093	1
532	辽宁号 其他国家航母 比较	9580	2
533	死飞自行车 清华附近 价格区间	22787	2
534	国际航班 行李限制	12798	4
535	辽宁号优劣	24791	2
536	在香港买iphone 6	25455	3
537	北京5月 周边旅游推荐	6748	2
538	清华大学 自行车	10809	3
539	辽宁号航母 优势	15005	3
540	国际航班中乘客可以携带多少液体	23822	4
541	清华大学附近购买死飞自行车的渠道	9179	2
542	google眼镜 价格	23001	2
543	大陆iphone6	3256	2
544	天龙潭村	24909	4
545	香港购买ipo	14381	2
546	死飞自行车 清华大学 攻略	10960	1
547	辽宁号 比较	9545	4
548	清华大学 死飞自行车市场	10920	2
549	辽宁号 优势劣势	19401	3
550	北京附近度假地	23967	4
551	港版iphone6 入关关税	6223	3
552	破冰游戏  员工培训	25062	1
553	留美 手提行李 液体	9683	3
554	国际航班托运行李 	14571	3
555	到美国的国际航班行李	21536	3
556	美国 托运行李限制	8475	4
557	菜户营桥西公交站 地图	8059	3
558	戒烟好处	1897	4
559	内地iphone6	24604	2
560	新员工培训大约十人的破冰游戏	21852	2
561	清华大学游泳馆 tsinghua	23129	3
562	iphone6价格	10086	2
563	清华大学陈明游泳馆学生价格	1983	2
564	国际航班 必须托运行李	23426	4
565	航空母舰 战略作用	11679	4
566	清华大学游泳馆 游泳卡价格	19943	2
567	iphone6 国行价格	12095	2
568	北京旅游住宿花费	9074	2
569	清华大学游泳馆 场次	16832	2
570	托运行李 电脑	17038	2
571	辽宁号基本信息	1194	2
572	破冰游戏 十人	23618	3
573	清华大学附近 死飞 购买	21002	2
574	北京周边度假旅行 一周	12432	3
575	辽宁号 百科	22579	3
576	戒烟 副作用	8314	2
577	港版iphone6 入关	6200	2
578	港版iphone6  价格	8379	4
579	google眼镜 使用方式	22980	2
580	国际航班 必须托运行李	23429	3
581	北京周边旅游 价格	23309	3
582	港版 iphone6关税 	20393	2
583	清华西门 死飞	6512	2
584	港版iphone6能否支持国内的通信	19929	4
585	清华大学游泳馆 游泳卡价格	19944	2
586	戒烟方法	9752	4
587	国际航班 禁止托运	7222	3
588	北京周边五月一周度假旅行	10285	2
589	死飞自行车清华附近	24978	2
590	清华大学附近 死飞自行车	9941	1
591	5月北京周边游	25989	2
592	购买港版iphone6	19879	3
593	戒烟 方法	14866	2
594	国际航班 美国 行李限制	24278	3
595	港版iphone6 入关	6199	2
596	死飞自行车 购买	15426	3
597	液体、气雾剂及凝胶在国际航班上的规定	8766	1
598	手提行李中不能携带的物品	8788	2
599	iphone6 大陆 港版  价格	3298	2
600	留美 国际航班 手提行李限制	9598	2
601	去十渡怎么去	26077	3
602	在香港买手机带回大陆需要关税吗	11720	3
603	清华西门 死飞	6511	2
604	北京度假旅行 5月	24449	2
605	死飞自行车销售地址	9227	3
606	死飞自行车 价格区间	23903	2
607	戒烟 方法	14869	1
608	北京周边旅游景点	12545	3
609	清华大学游泳馆 开放时间	5268	2
610	托运行李 国际航班 电脑	17117	3
611	清华大学 十渡	26106	2
612	死飞自行车 报价	16361	3
613	清华大学附近购买死飞自行车	10760	2
614	山海关旅游 7天	19630	2
615	北京周边旅游 多日游	18771	2
616	清华大学附近的自行车专卖店	9269	2
617	辽宁号的优劣	9416	4
618	清华西门 死飞公园	25682	1
619	死飞自行车 清华附近	2483	2
620	清华大学游泳馆 价钱	11749	3
621	手提行李   液体容量	17605	3
622	网上买死飞 注意事项	6678	2
623	手提行李中不能携带的物品	8787	3
624	死飞	22113	2
625	死飞自行车价格	9963	3
626	辽宁号的优点	9445	2
627	破冰游戏 	25035	2
628	iphone6 大陆 港版  价格	3295	3
629	清华大学游泳馆 地点	21143	2
630	清华大学 死飞	7955	2
631	留美 什么必须托运	9704	3
632	国际航班中手提行李中可以有多少液体	8701	3
633	5月北京周边	20687	3
634	死飞 清华大学附近	7975	1
635	香港购买iphone6带回要交关税？	13270	3
