	query	docno	relevance
636	买死飞注意事项	21325	1
637	5月北京周边 7天	20739	1
638	死飞自行车 北京	24089	2
639	国际航班 行李物品液体要求	7158	4
640	清华大学游泳馆 游泳卡	18632	2
641	北京周边7日游 花费	12649	2
642	辽宁号 不足	3397	3
643	手提行李   液体容量	17602	3
644	清华大学 陈明游泳馆 价格	8187	2
645	北京周边 度假旅行	15094	2
646	辽宁号  基本信息	17438	2
647	谷歌眼镜 使用方式	8560	2
648	北京度假旅行  怀柔度假村	18491	3
649	 新人培训 破冰游戏	20497	3
650	香港购买iphone6 关税多少	14468	2
651	死飞 海淀	3148	3
652	清华大学露天游泳馆	25250	2
653	北京周边旅游推荐	6725	3
654	死飞自行车  购买注意事项	17939	2
655	航母作用	3423	4
656	北京度假旅行  一周旅行团	18374	2
657	托运行李限制 国际航班	19336	4
658	怀柔旅游	22426	2
659	清华大学附近哪里卖死飞	25607	1
660	怀柔	22396	2
661	清华 游泳 票价	7747	4
662	google眼镜 百度百科	22965	2
663	5月北京周边旅游 价格	23342	3
664	死飞自行车 清华大学附近 购买渠道	15320	2
665	北京周边旅游地点	19418	3
666	国际航班行李	21507	3
667	买死飞注意事项	21327	2
668	北京周边旅游 价格	23313	3
669	清华西门卖死飞	21255	2
670	破冰游戏 新员工培训	14184	2
671	谷歌眼镜售价	9155	2
672	国际航班中哪些行李必须手提	23759	4
673	清华大学游泳馆 地址	15237	3
674	新员工培训时的破冰游戏	9003	2
675	死飞自行车 清华	3096	2
676	5月北京周边旅游目的地	20762	2
677	国际航班 液体登机	7286	3
678	辽宁号航母 相比别国 优劣	14961	3
679	北京及周边休闲7日游线路	12683	2
680	国际航班 手提行李 液体 规定	12846	4
681	谷歌眼镜 功能能	14824	2
682	北戴河旅游	19537	2
683	必须手提的行李	24296	3
684	北京旅游住宿花费	9077	1
685	辽宁号  	17504	3
686	苹果官网	25393	4
687	清华大学 哪里有卖 死飞	22061	1
688	北京周边旅游地点 7日游	19465	2
689	死飞自行车 购买注意事项	23884	2
690	香港 iphone6  价格  	18226	3
691	北京周边  7天旅游	12510	1
692	辽宁号 优	3372	3
693	辽宁号  战略目标	17456	3
694	死飞自行车  清华西门	18008	2
695	北京及周边休闲7日游线路	12684	2
696	清华大学游泳馆 位置	22289	3
697	清华大学陈明游泳馆价格	1952	3
698	清华陈明游泳馆 开放时间	7494	4
699	港版iphone6缴纳关税	24252	2
700	留美 国际航班 手提行李限制	9597	2
701	哪些物品 手提行李	16211	4
702	死飞 清华附近	8085	2
703	辽宁号 优势和劣势	22178	1
704	故宫周边交通线	13966	1
705	清华大学附近 购买自行车	10842	2
706	港版iphone	21476	2
707	死飞自行车 清华附近 购买	22626	1
708	北京周边 度假旅行 一周	15130	3
709	有效戒烟	16679	1
710	国际航班 手提行李 液体 规定	12848	3
711	港iphone6  国内运营商	18273	3
712	国际航班中有关行李的规定	23698	4
713	清华陈明游泳馆 价格	7519	2
714	戒烟的益处	13531	3
715	iphone6 大陆 港版	3276	3
716	手提行李液体 	2691	3
717	港版iphone6 需不需要关税	19895	2
718	青龙峡 红螺寺	26260	3
719	故宫周边旅店	13894	1
720	手提行李限制 国际航班	2633	3
721	港版iphone6 大陆运营商	22025	3
722	在香港买iphone6	21987	3
723	死飞自行车  清华大学  注意事项	17775	1
724	清华大学游泳馆 地图	15268	3
725	破冰游戏作用	14254	2
726	清华 陈明游泳馆 价格	7546	2
727	北京周边5日游	23281	2
728	iphone6国内售价	19852	2
729	清华 死飞 注意事项	6585	2
730	山海关旅游 7天	19626	2
731	破冰游戏  十人	7453	2
732	破冰游戏  员工培训 10人	25093	2
733	辽宁号与其他国家航母的对比	22457	2
734	手提行李液体 	2692	3
735	清华大学 买自行车	12028	3
736	北京周边游 攻略	26204	3
737	辽宁号 排水量	16461	3
738	航母作用	3424	4
739	死飞自行车 购买 注意	15476	4
740	清华大学 游泳馆	8129	3
741	北京度假旅行景点	13829	4
742	手提行李限制 国际航班 液体	19268	3
743	死飞公园 清华附近	8108	4
744	港版iphone6价格	10682	3
745	清华 陈明游泳馆 价格	7549	2
746	5月北京度旅游	11393	1
747	有效戒烟	16681	3
748	死飞报价	25760	3
749	辽宁号 优劣	3352	2
750	国际航班行李限制统一规定	13611	3
751	清华大学游泳馆学生票	3477	2
752	谷歌眼镜 功能	4917	2
753	北京周边一周度假旅行	2264	2
754	北京周边旅游景点 7日游	12571	3
755	死飞 五道口	7990	1
756	死飞自行车 北京  清华大学 购买渠道	22723	1
757	谷歌眼镜功能	10974	2
758	北京旅游花费	9050	1
759	破冰游戏 员工培训 10人左右	14203	3
760	5月北京度旅游	11391	1
761	如何在香港购买iphone6	13252	4
762	死飞自行车 购买 注意	15475	2
763	清华大学游泳馆 具体地址	25199	3
764	清华买死飞	6457	2
765	北京及周边休闲7日游 价格	12708	3
766	清华大学附近哪里卖自行车	12051	2
767	港版 大陆iphone6 价格	20381	2
768	北京旅行	2723	3
769	港版iphone6过关	22002	2
770	清华 死飞 推荐	6534	3
771	北京5月 度假 攻略	6845	1
772	港版iphone6 国行 价格	16727	3
773	辽宁号航母 优势	15009	2
774	死飞自行车购买渠道	14072	2
775	死飞 清华大学哪里有卖	11997	1
776	破冰游戏 十个人	8976	3
777	破冰游戏 互相介绍  公司	17146	2
778	如何购买港版iphone6	9343	2
779	iphone6	349	4
780	在香港购买iphone6价格	10110	3
781	死飞大概的价格	21343	1
782	戒烟本身的副作用	12287	1
783	港版iphone6能否支持国内的移动通信	19908	4
784	死飞自行车 海淀	5592	3
785	清华大学游泳馆 西湖游泳馆	16866	2
786	购买死飞自行车	9296	2
787	港版iphone6 入关关税	6225	2
788	港版iphone6 价格	16708	3
789	辽宁号 与其他国家航母比较	9564	4
790	死飞自行车 清华周边	19206	2
791	北京5月 周边旅游 报价	6778	2
792	国际航班 手提 不能托运	7313	2
793	北京周边一周度假旅行	2262	3
794	清华 陈明游泳馆 票价	7579	3
795	港版iphone6支持国内网络运营商	13296	3
796	谷歌眼镜 如何使用	25374	2
797	死飞自行车 清华附近 注意事项	22743	1
798	辽宁号航母的优势和劣势	24419	3
799	戒烟的副作用	4386	2
800	辽宁号航母基本信息	24401	3
801	清华附近 死飞 注意事项	21091	1
802	港版iphone6 大陆iphone6	8363	4
803	北京周边旅游	11474	2
804	港版iphone6 在哪买	6170	2
805	辽宁号基本信息百科	13757	1
806	破冰游戏  十人	7452	4
807	死飞 购买注意事项	3238	2
808	辽宁号航母 优势	15006	2
809	香港购买iphone6 关税	1145	2
810	港币汇率	14345	4
811	陈明游泳馆 时间	16808	2
812	破冰游戏作用	14255	3
813	北戴河旅游 7天	19573	3
814	辽宁号和别国航母相比 优势和劣势	22163	2
815	国际航班手提行李不能带 	14637	4
816	北京度假旅行  怀柔度假村	18493	1
817	谷歌眼镜 功能	4916	2
818	北京周边旅游 一周	18742	2
819	北京周边旅游地点	19420	3
820	死飞自行车 清华附近 价格区间	22786	2
821	北京附近度假地	23966	4
822	国际航班 行李限制	12799	4
823	清华大学到十渡	26143	2
824	百度旅游	21966	3
825	戒烟的好处	22475	4
826	美国 托运行李限制	8474	3
827	十渡住宿	24480	3
828	清华大学附近购买死飞自行车的渠道	9180	1
829	google眼镜 价格	23000	4
830	大陆iphone6	3259	2
831	清华大学游泳馆 学生	3496	2
832	清华附近 死飞 购买	21066	2
833	香港购买ipo	14382	3
834	清华大学陈明游泳馆学生价格	1982	2
835	谷歌眼镜价格	2583	2
836	破冰游戏  员工培训	25063	4
837	戒烟的好处	22476	3
838	国际航班托运行李 	14572	4
839	到美国的国际航班行李	21537	2
840	清华大学游泳馆学生价	13515	2
841	香港购买iphone6 关税	1143	3
842	内地iphone6	24607	3
843	北京周边游 	26228	3
844	辽宁号战略意义	20001	4
845	google眼镜 维基百科	22945	2
846	戒烟 副作用	8316	2
847	清华大学游泳馆所在地	3715	3
848	国际航班 必须托运行李	23427	3
849	死飞自行车购买 清华	19790	1
850	5月在北京度假旅行	11203	2
851	在香港买手机带回大陆需要关税吗	11719	2
852	液体、气雾剂及凝胶在国际航班上的规定	8768	3
853	清华大学陈明游泳馆学生卡	2042	3
854	iphone6 国行价格	12094	3
855	香港购买ipo	14383	2
856	内地iphone6价格	21438	2
857	辽宁号与美国航母对比	26323	3
858	死飞自行车清华附近	24980	1
859	死飞自行车	77	2
860	留美 行李限制	9626	2
861	清华大学附近 死飞 购买	21001	2
862	飞机 托运行李限制	23372	4
863	辽宁号 百科	22576	4
864	戒烟 副作用	8315	2
865	港版iphone6 入关	6201	2
866	辽宁号的优势与劣势	20026	1
867	怀柔度假村 3日游 价格	6929	2
868	清华西门 死飞	6513	2
869	戒烟方法	9755	2
870	清华大学 死飞自行车市场	10922	2
871	国际航班 禁止托运	7225	2
872	留美 什么必须托运	9703	1
873	清华大学 游泳 票价	7605	2
874	5月 北京周边旅游 	20810	3
875	那些行李必须手提	24689	3
876	龙庆峡住宿	24512	3
877	港版iphone6  国内网络支持	23212	3
878	死飞自行车 购买	15427	3
879	液体、气雾剂及凝胶在国际航班上的规定	8767	2
880	清华大学游泳馆 所在地	12403	3
881	谷歌眼镜 维基百科	22923	1
882	去十渡怎么去	26078	2
883	在香港买手机带回大陆需要关税吗	11721	2
884	北京度假旅行 5月	24448	1
885	 买死飞注意事项	25723	1
886	死飞自行车 北京 购买渠道	22689	3
887	在香港买iphone 6	25458	4
888	死飞自行车 价格区间	23900	4
889	戒烟 方法	14870	2
890	北京周边旅游景点	12544	3
891	托运行李 国际航班 电脑	17116	3
892	清华附近卖死飞	21229	2
893	清华大学附近购买死飞自行车	10761	3
894	国际航班对行李中液体限制	19820	3
895	国际航班手提行李限制	14511	3
896	清华大学附近的自行车专卖店	9266	2
897	5月北京周边 7天	20738	1
898	死飞自行车 清华附近	2482	2
899	清华大学游泳馆 游泳卡办理	19971	2
900	北京周边7日游 花费	12648	2
901	网上买死飞 注意事项	6677	1
902	死飞	22112	4
903	死飞自行车价格	9962	4
904	死飞自行车 清华附近 购买渠道	22650	1
905	辽宁号的优点	9446	2
906	辽宁号  基本信息	17439	2
907	国际航班中哪些行李必须托运	23724	4
908	留美 什么必须托运	9705	2
909	死飞自行车  购买注意事项	17941	2
910	国际航班中手提行李中可以有多少液体	8702	1
911	怀柔旅游	22428	3
912	死飞 清华大学附近	7974	1
913	怀柔	22394	4
914	港版iphone6需要关税吗	22318	2
915	死飞自行车 北京	24086	3
916	国际航班 行李物品液体要求	7159	3
917	清华大学 陈明游泳馆	8160	4
918	去美国 不能托运的	25562	3
919	清华大学 陈明游泳馆 价格	8186	3
920	iphone6 香港售价	23157	2
921	谷歌眼镜 使用方式	8563	3
922	死飞自行车注意事项	22371	3
923	香港购买iphone6 关税多少	14469	2
924	清华大学露天游泳馆	25249	4
925	国际航班中哪些行李必须托运	23723	3
926	北京周边旅游推荐	6724	2
927	谷歌眼镜 百科	22900	4
928	死飞自行车购买注意事项	2506	1
929	托运行李限制 国际航班	19337	3
930	清华大学附近哪里卖死飞	25606	1
931	怀柔	22397	3
932	清华大学 哪里卖死飞	25627	2
933	清华 游泳 票价	7746	2
934	国际航班 液体登机	7288	3
935	清华大学游泳馆信息	21877	2
936	google眼镜 百度百科	22964	2
937	北京周边游 	26229	1
938	破冰游戏 自我介绍	11145	2
939	港版iphone6 内地运营商	10724	2
940	北京周边的度假胜地	9025	3
941	买死飞注意事项	21326	2
942	北京周边旅游 价格	23312	2
943	国际航班 行李要求	7086	4
944	北京度假旅行景点推荐	13864	3
945	北京旅游住宿花费	9076	2
946	国内iphone6价格	13225	4
947	破冰游戏 新员工培训	14185	2
948	死飞自行车 清华大学附近 购买	15369	2
949	国际航班中哪些行李必须手提	23758	4
950	港版 大陆iphone6	20361	3
951	新员工培训时的破冰游戏	9002	1
952	死飞自行车 清华	3097	2
953	5月北京周边旅游目的地	20761	2
954	破冰游戏 新员工培训 十人	16147	2
955	北京周边5月 度假 攻略	6908	2
956	辽宁号航母 相比别国 优劣	14962	2
957	哪些物品只能托运	8816	4
958	北京及周边休闲7日游线路	12682	3
959	手提行李限制 国际	16978	4
960	国际航班 手提行李 液体 规定	12847	3
961	谷歌眼镜 功能能	14825	3
962	关于合作的10人左右破冰游戏	24068	4
963	留美 国际航班 手提行李限制	9595	3
964	辽宁号  	17505	1
965	死飞公园 清华	17270	3
966	清华 附近  死飞	10034	1
967	清华大学游泳馆 地图	15269	2
968	死飞 价格	3178	3
969	北京周边5月 度假 攻略	6907	2
970	港版iphone	21474	3
971	死飞自行车 清华附近 购买	22628	2
972	清华大学游泳馆 位置	22290	3
973	清华陈明游泳馆 开放时间	7495	3
974	港版iphone6缴纳关税	24251	2
975	死飞自行车 	23851	3
976	清华 游泳卡	7775	2
977	戒烟的益处	13533	3
978	哪些物品 手提行李	16210	3
979	香港 超过多少钱需要交关税	25430	2
980	辽宁号优势	2463	2
981	故宫周边交通线	13965	1
982	清华 附近  死飞实体店	10059	2
983	清华大学附近死飞自行车购买	19669	2
984	辽宁号 战略作用	8346	2
985	怀柔度假村 3日游 花费	6961	1
986	港版iphone	21477	4
987	十人破冰游戏	13688	4
988	北京周边 度假旅行 一周	15131	2
989	港版iphone6 z	10701	2
990	北京五月一周度假旅行	2207	1
991	国际航班 手提行李 液体 规定	12849	3
992	iphone6 香港售价 关税	23178	2
993	国际航班 手提行李 液体	12820	3
994	辽宁号与其他国家航母对比	26345	3
995	死飞自行车 	23852	3
996	北京周边旅游景点	12543	2
997	iphone6 大陆 港版	3277	2
998	港版iphone6 需不需要关税	19894	2
999	青龙峡 红螺寺	26259	2
1000	清华大学陈明游泳馆	1927	3
1001	谷歌眼镜 使用说明	11663	3
1002	手提行李限制 国际航班	2632	3
1003	港版iphone6 大陆运营商	22024	2
1004	国际航班手提行李可携带液体	13655	3
1005	死飞自行车  清华大学  注意事项	17774	1
1006	清华大学	23928	3
1007	哪些物品必须托运	16242	2
1008	清华大学 自行车市场	10885	3
1009	死飞 注意事项	3213	2
1010	清华 陈明游泳馆 价格	7547	3
1011	北京周边5日游	23280	2
1012	港版iphone6 运营商	6184	3
1013	辽宁号相对于其他国家的优点	9436	3
1014	死飞自行车清华大学	10935	2
1015	破冰游戏  十人	7450	3
1016	死飞自行车 清华大学 攻略	10958	1
1017	破冰游戏  员工培训 10人	25092	2
1018	辽宁号与其他国家航母的对比	22456	3
1019	辽宁号 战略价值	10642	3
1020	 清华大学  死飞专卖店	17883	1
1021	国际航班中哪些行李必须手提	23762	3
1022	死飞自行车 购买 注意	15477	2
1023	清华附近购买死飞自行车  价格区间	22809	2
1024	北京度假旅行景点	13828	3
1025	北京周边五月一周度假旅行	10282	2
1026	港版iphone6 购买	16196	2
1027	死飞公园 清华附近	8111	2
1028	航母历史	14900	3
1029	5月北京附近旅游地	23988	2
1030	手提行李液体 国际航班	2657	4
1031	十渡攻略	26050	3
1032	5月北京度旅游	11394	2
1033	辽宁号 尺寸	16482	2
1034	北京周边7日游 花费	12650	2
1035	死飞自行车清华大学	10938	2
1036	国际航班行李限制统一规定	13608	4
1037	新手十人破冰游戏	13710	3
1038	死飞自行车 北京  清华大学 购买渠道	22722	2
1039	北京旅游花费	9051	2
1040	托运行李 	17635	4
1041	国际航班 行李要求	7084	4
1042	清华大学 哪里有卖 死飞	22062	1
1043	 清华大学  死飞专卖店	17884	1
1044	港版 大陆iphone6 价格	20380	2
1045	破冰游戏 员工 十人	7430	2
1046	清华 死飞 推荐	6535	2
1047	辽宁号 优势劣势	19399	2
1048	吸烟 危害	17671	4
1049	清华大学 购买死飞自行车	19691	2
1050	港版iphone6 运营商	6182	4
1051	北京周边度假旅行 7天	12476	2
1052	死飞自行车购买渠道	14073	3
1053	死飞 清华大学哪里有卖	11996	2
1054	清华 游泳卡	7776	2
1055	破冰游戏 十个人	8977	4
1056	北京5月 周边旅游 报价	6780	1
1057	辽宁号  历史	17478	1
1058	戒烟 坏处	5657	2
1059	iphone6	350	3
1060	在香港购买iphone6价格	10109	3
1061	北京周边 度假旅行 7日	15169	3
1062	航母能发挥的战略作用	24427	4
1063	戒烟本身的副作用	12286	2
1064	港版iphone6能否支持国内的移动通信	19911	4
1065	死飞自行车 海淀	5593	2
1066	购买死飞自行车	9299	3
1067	死飞价格区间	25808	2
1068	香港购买iphone 关税	14420	3
1069	港版iphone6 入关关税	6224	2
1070	清华大学游泳馆 地图	15270	2
1071	破冰游戏 企业培训	17173	4
1072	留美 手提行李 液体	9685	2
1073	死飞自行车 清华周边	19205	2
1074	北京5月 周边旅游 报价	6779	1
1075	国际航班 手提 不能托运	7314	1
1076	北京周边一周度假旅行	2263	2
1077	iphone6 香港 国内网络支持	23193	2
1078	死飞公园 买死飞注意事项	25703	2
1079	谷歌眼镜 如何使用	25375	2
1080	iphone6国行 价格	16743	4
1081	死飞自行车 清华附近 注意事项	22742	1
1082	戒烟的副作用	4387	2
1083	辽宁号航母基本信息	24400	4
1084	大约十人的破冰游戏	21832	3
1085	北京周边旅游	11473	3
1086	北京周边五日以上度假旅行	2300	2
1087	手提行李限制 液体	8504	3
1088	清华大学到十渡	26145	1
1089	辽宁号战略作用	13050	3
1090	清华大学游泳馆位置	9359	2
1091	十人破冰游戏	13685	3
1092	香港购买iphone6 关税	1144	2
1093	戒烟 坏处	5655	4
1094	清华大学 死飞自行车	10738	2
1095	美国 不能托运的	25541	4
1096	港版国行iphone6 价格	6268	3
1097	国际航班 手提液体	23463	4
1098	清华 死飞专卖	11643	3
1099	死飞自行车 清华大学 攻略	10959	2
1100	航母战略作用	24833	3
1101	北京周边旅游地点	19421	3
1102	死飞自行车 清华附近 价格区间	22785	1
1103	国际航班 托运行李	10582	3
1104	清华大学到十渡	26142	1
1105	辽宁号优劣	24793	3
1106	北京5月 周边旅游推荐	6750	2
1107	戒烟的好处	22474	4
1108	国际航班中乘客可以携带多少液体	23820	3
1109	菜户营桥西公交站 地图	8062	3
1110	大陆iphone6	3258	3
1111	北京周边游 	26226	3
1112	清华大学游泳馆 学生	3497	4
1113	天龙潭村	24911	2
1114	死飞自行车 清华附近 注意事项	22744	1
1115	北京旅行5月	2757	2
1116	谷歌眼镜 价格	11016	3
1117	iphone6 港版价格	12077	2
1118	天龙潭村	24910	3
1119	5月在北京度假旅行	11205	2
1120	北京旅游住宿花费 昌平	9108	2
1121	清华大学陈明游泳馆学生卡	2043	3
1122	国际航班托运行李 	14573	4
1123	国内 iphone6  价格  	18205	3
1124	清华大学游泳馆学生价	13514	2
1125	北京周边 度假旅行 7日	15167	2
1126	托运行李 电脑	17035	3
1127	香港购买iphone6 关税	1142	2
1128	内地iphone6	24606	2
1129	清华附近死飞	21208	2
1130	辽宁号战略意义	20000	4
1131	留美 行李限制	9625	2
1132	google眼镜 维基百科	22944	3
1133	清华西门死飞	21277	3
1134	google眼镜 使用方式	22977	2
1135	航空母舰的战略意义	26300	3
1136	死飞自行车购买 清华	19789	2
1137	5月在北京度假旅行	11202	1
1138	港版 iphone6关税 	20396	2
1139	清华大学游泳馆 游泳卡价格	19941	3
1140	港版iphone6	1114	2
1141	避暑山庄旅游 7天	19599	4
1142	死飞  注意事项	22849	3
1143	辽宁号基本信息	1196	1
1144	死飞自行车清华附近	24981	1
1145	破冰游戏 十人	23620	3
1146	清华大学游泳馆 tsinghua	23126	3
1147	清华大学附近 死飞 购买	21000	3
1148	飞机 托运行李限制	23371	3
1149	辽宁号 百科	22577	3
1150	死飞 清华大学	8010	3
1151	戒烟方法	9754	4
1152	国际航班 禁止托运	7224	2
1153	避暑山庄旅游 7天	19600	2
1154	辽宁号  基本信息	17437	3
1155	清华附近卖死飞	21227	2
1156	5月 北京周边旅游 	20811	2
1157	国际航班对行李中液体限制	19818	3
1158	辽宁号航母 优劣	14946	3
1159	辽宁号与其他航母相比 优势和劣势	20885	2
1160	龙庆峡住宿	24511	4
1161	港版iphone6  国内网络支持	23213	3
1162	航母的战略意义	22195	3
1163	清华 死飞 注意事项	6588	2
1164	网上买死飞 注意事项	6675	2
1165	辽宁号 其他国家航母 比较	9581	2
1166	菜户营桥西公交站	8035	3
1167	去十渡怎么去	26079	4
1168	北京度假旅行 5月	24451	1
1169	死飞自行车销售地址	9225	3
1170	 买死飞注意事项	25724	2
1171	在香港买iphone 6	25457	3
1172	死飞自行车 价格区间	23901	3
1173	辽宁号的优劣	9415	2
1174	故宫周边交通	13927	1
1175	清华大学附近购买死飞自行车	10762	1
1176	国际航班手提行李限制	14508	4
1177	清华大学陈明游泳馆 价格	10399	2
1178	死飞大概的价格	21346	2
1179	清华大学附近的自行车专卖店	9267	3
1180	去美国 不能托运	25582	3
1181	辽宁号航母 相比别国 优劣	14958	3
1182	清华大学游泳馆 游泳卡	18631	2
1183	死飞自行车 清华附近	2481	2
1184	清华大学游泳馆 游泳卡办理	19972	2
1185	清华大学游泳馆具体位置	24857	2
1186	北京周边 度假旅行	15091	2
1187	中国运营商支持港版iphone6	2450	3
1188	辽宁号的优点	9447	3
1189	死飞自行车注意事项	22373	3
1190	香港购买iphone6 关税多少	14467	2
1191	到美国的国际航班行李	21534	4
1192	死飞自行车  购买注意事项	17942	2
1193	5月北京周边	20685	4
1194	怀柔	22395	2
1195	国内 iphone6  价格  	18203	1
1196	清华 游泳 票价	7748	1
1197	国际航班 行李物品液体要求	7156	3
1198	谷歌眼镜 如何使用	25376	1
1199	国行iphone6  价格	8410	4
1200	大兴野生动物园	26280	2
1201	清华大学 陈明游泳馆 价格	8185	2
1202	iphone6 香港售价	23158	4
1203	清华 附近  死飞	10035	3
1204	清华大学露天游泳馆	25248	2
1205	清华大学游泳馆 地点	21144	2
1206	死飞自行车 购买 注意事项	15458	1
1207	国际航班手提行李能带多少液体	21563	2
1208	北京旅行5月香山	2785	2
1209	北京周边  7天旅游	12514	2
1210	清华大学附近哪里卖死飞	25605	2
1211	国内iphone6售价	9318	2
1212	 新人培训 破冰游戏 10人	20516	2
1213	辽宁号 优势和劣势	22177	1
1214	google眼镜 百度百科	22963	2
1215	5月北京周边旅游 价格	23340	2
1216	破冰游戏 自我介绍	11144	1
1217	手提行李限制 国际	16980	4
1218	北京周边的度假胜地	9026	3
1219	北京周边 度假旅行 	7849	2
1220	北戴河旅游	19540	4
1221	死飞自行车使用方法	14131	2
1222	清华大学游泳馆 时间	16781	2
1223	去美国 不能托运	25585	3
1224	清华西门卖死飞	21253	2
1225	谷歌眼镜使用方式	9136	2
1226	死飞自行车 清华大学附近 购买	15370	2
1227	谷歌眼镜售价	9153	3
1228	新员工培训时的破冰游戏	9001	3
1229	买死飞 注意事项	6628	1
1230	破冰游戏 新员工培训 十人	16148	2
1231	北京周边5月 度假 攻略	6909	1
1232	破冰游戏十人	2362	4
1233	哪些物品只能托运	8817	2
1234	手提行李限制 国际	16979	2
1235	死飞自行车 清华大学附近 购买渠道	15319	2
1236	清华大学游泳馆 位置	22292	2
1237	清华大学游泳馆 场次	16829	2
1238	谷歌眼镜 功能能	14826	2
1239	清华大学露天泳池 学生价格	25278	2
1240	关于合作的10人左右破冰游戏	24069	2
1241	留美 国际航班 手提行李限制	9594	2
1242	辽宁号  	17506	2
1243	故宫周边交通线	13963	1
1244	香港 iphone6  价格  	18224	3
1245	港版iphone	21475	3
1246	国际航班行李限制	13593	4
1247	航空母舰 战略作用	11683	2
1248	港版iphone6 入关关税	6221	2
1249	iphone6 香港售价 关税	23180	2
1250	港版iphone6缴纳关税	24250	2
1251	死飞自行车 	23850	4
1252	戒烟的益处	13534	1
1253	辽宁号优劣势	1213	2
1254	谷歌眼镜 使用港式	12382	2
1255	死飞 清华大学附近	7976	1
1256	辽宁号优势	2462	2
